Date-Time, "Internal Temperature", "Reference Temperature", "External temperature", "User Temperature", "FAN", "RESISTOR", "PID"
2022-03-07 14:36:52, "30,75", "42,00", "26,69", "42,00", "0", "100", "100,00"
2022-03-07 14:36:54, "30,75", "42,00", "26,58", "42,00", "0", "100", "100,00"
2022-03-07 14:36:56, "30,75", "42,00", "26,59", "42,00", "0", "100", "100,00"
2022-03-07 14:36:58, "30,75", "42,00", "26,59", "42,00", "0", "100", "100,00"
2022-03-07 14:36:59, "30,88", "42,00", "26,59", "42,00", "0", "100", "100,00"
2022-03-07 14:37:01, "30,88", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:03, "31,06", "42,00", "26,59", "42,00", "0", "100", "100,00"
2022-03-07 14:37:05, "31,19", "42,00", "26,59", "42,00", "0", "100", "100,00"
2022-03-07 14:37:07, "31,19", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:08, "31,50", "42,00", "26,58", "42,00", "0", "100", "100,00"
2022-03-07 14:37:10, "31,81", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:12, "31,81", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:13, "32,06", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:15, "32,44", "42,00", "26,59", "42,00", "0", "100", "100,00"
2022-03-07 14:37:17, "32,44", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:19, "32,88", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:20, "33,31", "42,00", "26,59", "42,00", "0", "100", "100,00"
2022-03-07 14:37:22, "33,31", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:24, "33,75", "42,00", "26,58", "42,00", "0", "92", "92,50"
2022-03-07 14:37:25, "34,25", "42,00", "26,59", "42,00", "0", "52", "52,50"
2022-03-07 14:37:27, "34,25", "42,00", "26,58", "42,00", "0", "100", "100,00"
2022-03-07 14:37:29, "34,75", "42,00", "26,58", "42,00", "0", "37", "37,50"
2022-03-07 14:37:30, "35,31", "42,00", "26,58", "42,00", "40", "0", "-4,38"
2022-03-07 14:37:32, "35,31", "42,00", "26,59", "42,00", "0", "100", "100,00"
2022-03-07 14:37:34, "35,81", "42,00", "26,59", "42,00", "0", "5", "5,62"
2022-03-07 14:37:36, "36,38", "42,00", "26,58", "42,00", "40", "0", "-36,25"
2022-03-07 14:37:38, "36,38", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:39, "36,88", "42,00", "26,60", "42,00", "40", "0", "-26,25"
2022-03-07 14:37:41, "37,38", "42,00", "26,60", "42,00", "41", "0", "-41,25"
2022-03-07 14:37:43, "37,38", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:44, "37,81", "42,00", "26,60", "42,00", "40", "0", "-29,38"
2022-03-07 14:37:46, "38,31", "42,00", "26,61", "42,00", "69", "0", "-69,38"
2022-03-07 14:37:48, "38,31", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:49, "38,75", "42,00", "26,60", "42,00", "57", "0", "-57,50"
2022-03-07 14:37:51, "39,06", "42,00", "26,60", "42,00", "40", "0", "-16,88"
2022-03-07 14:37:53, "39,06", "42,00", "26,60", "42,00", "0", "100", "100,00"
2022-03-07 14:37:55, "39,44", "42,00", "26,60", "42,00", "53", "0", "-53,12"
2022-03-07 14:37:56, "39,81", "42,00", "26,60", "42,00", "64", "0", "-64,38"
